Product:  40401 JET FUEL,,,,,,
01.05.2023  312324319 EIRZC,NOS1294,FCO,FUE  12.558,,"3.317,473","8,55320 49,00"
01.05.2023  312324584 EIHIM,NOS1350,VRN,VRN  2.341,,"618,427","7,55320 9,14"
01.05.2023  312324621 INEOU,NOS1446,BLQ,ACE  11.037,,"2.915,667","6,55320 43,07"
01.05.2023  312324586 EIRZA,NOS1620,MXP,MXP  2.909,,"768,477","8,55320 11,35"
01.05.2023  312324560 INEOZ,NOS1701,MXP,MXP  13.867,,"3.663,274","9,55320 54,10"
03.05.2023  312324324 EIRZD,NOS3925,KEF,KEF  18.377,,"4.854,690","5,55320 72,11"
08.05.2023  095000036 INEOU,NOS1350,VRN,VRN  2.572,,"679,451","7,55320 10,09"
08.05.2023  093000057 EIHIM,NOS1446,BLQ,BLQ  12.350,,"3.262,525","9 48,43,55320"
08.05.2023  009000037 EIRZB,NOS1620,MXP,MXP  2.532,,"668,884","8 ,553209,93"
10.05.2023  015000946 EIRZD,NOS3925,KEF,KEF  20.708,,"5.470,475","7 ,5532080,57"
15.05.2023  010000103 INEOZ,NOS1350,VRN,VRN  2.912,,"769,269","11,265,55320"
15.05.2023  015000984 EIHIM,NOS1446,BLQ,BLQ  12.677,,"3.348,909","48,99"
"",,,,,,"4,55320"
15.05.2023  093000114 EIRZB,NOS1620,MXP,MXP  2.993,,"790,667","11,56"
"",,,,,,"9,55320"
"",,,____________,,,
